stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction
STOP_133040,,Oriente 233,,19.40086842701893,-99.07721757888793,,,0,,0,
STOP_133041,,Oriente 237,,19.400423162810668,-99.07456755638123,,,0,,0,
STOP_133042,,Javier Rojo Gómez Eje 5 Ote,,19.40002849578915,-99.07190680503845,,,0,,0,
STOP_133043,,Oriente 245,,19.399552870157816,-99.06920313835144,,,0,,0,
STOP_133044,,Oriente 249,,19.399178440491184,-99.06689643859863,,,0,,0,
STOP_133045,,Oriente 253,,19.39877365069314,-99.06431078910828,,,0,,0,
STOP_133046,,Sur 8,,19.39822718286836,-99.06174659729002,,,0,,0,
STOP_133047,,Sur 12,,19.39549481621633,-99.0623152256012,,,0,,0,
STOP_133048,,Sur 16,,19.392742163424042,-99.06292676925659,,,0,,0,
STOP_133049,,Oriente 237,,19.39239807855164,-99.07658457756042,,,0,,0,
STOP_133050,,Oriente 237,,19.392529640500513,-99.07637000083922,,,0,,0,
STOP_133051,,Javier Rojo Gómez (Eje 5 Ote),,19.391962911347832,-99.0740418434143,,,0,,0,
STOP_133052,,Javier Rojo Gómez (Eje 5 Ote),,19.392074233301404,-99.07375216484068,,,0,,0,
STOP_133053,,Oriente 245,,19.39151762277217,-99.07147765159606,,,0,,0,
STOP_133054,,Oriente 245,,19.39165930563292,-99.071284532547,,,0,,0,
STOP_133055,,Oriente 249,,19.391092573449995,-99.06892418861389,,,0,,0,
STOP_133056,,Ret 2 de Sur 16,,19.391001491307982,-99.0678298473358,,,0,,0,
STOP_133057,,Oriente 253,,19.390637162230313,-99.06633853912352,,,0,,0,
STOP_133058,,Oriente 255,,19.390394275725527,-99.06421422958374,,,0,,0,
STOP_133059,,Oriente 257,,19.390242471476004,-99.06395673751831,,,0,,0,
STOP_133060,,Oriente 259,,19.390090667084923,-99.06202554702759,,,0,,0,
STOP_133061,,Canal de San Juan,,19.38964537338778,-99.05891418457031,,,0,,0,
STOP_133062,,Frente a Panaderia León,,19.388299364579776,-99.05691862106323,,,0,,0,
STOP_133065,,Aldama,,19.38705454953687,-99.05506253242493,,,0,,0,
STOP_133066,,Frente Calle Aldama,,19.387034308563234,-99.05535221099854,,,0,,0,
STOP_133068,,Constitución de Apatzingan,,19.385303696012123,-99.05243396759033,,,0,,0,
STOP_133069,,Miguel Hidalgo,,19.387783222912127,-99.05088901519774,,,0,,0,
STOP_133070,,Mina,,19.389615012409525,-99.04983758926392,,,0,,0,
STOP_133071,,General Antonio de León Loyola,,19.390920529361193,-99.0481960773468,,,0,,0,
STOP_133072,,CETRAM Tepalcates,,19.390394275725527,-99.0472948551178,,,0,,0,
STOP_133073,,Bahía del Cuerpo Oriente,,19.390100787382064,-99.0465760231018,,,0,,0,
STOP_133074,,Avenida TELECOM,,19.38750997077857,-99.04717683792114,,,0,,0,
STOP_133075,,Emilio Balli,,19.38680153718548,-99.04395818710327,,,0,,0,
STOP_133076,,Emilio Azcarraga Vidaurreta,,19.384878630466588,-99.04123306274414,,,0,,0,
STOP_133077,,Enrique Contel,,19.38324920226319,-99.03945207595825,,,0,,0,
STOP_133078,,J. Crisostomo Bonilla,,19.38967573436036,-99.035085439682,,,0,,0,
STOP_133079,,Ángel Trias Base,,19.390161509151707,-99.03589010238647,,,0,,0,
STOP_133206,,Viaducto Río de la Piedad,,19.40675794346361,-99.0813159942627,,,0,,0,
STOP_133207,,Oriente 217B,,19.40454181023701,-99.08051133155823,,,0,,0,
STOP_133208,,Sur 2A,,19.40568529827518,-99.0792453289032,,,0,,0,
STOP_133209,,Sur 4,,19.404096556083044,-99.079749584198,,,0,,0,
STOP_133210,,Río Churubusco,,19.401819669199373,-99.08123016357422,,,0,,0,
STOP_133274,,Estación Metro Puebla,,19.40738533642689,-99.08250689506531,,,0,,0,
